de,slug
secura dual-cestra,secura_dual_cestra
kriechender volltreffer,creeping_bullseye
mutalist alad v (attentat) (key),mutalist_alad_v_assassinate_key
strahlende entwaffnung,irradiating_disarm
absorbierende antimaterie,antimatter_absorb
arkana: barriere,arcane_barrier
arkana: eis,arcane_ice
telos boltor,telos_boltor
frost prime: set,frost_prime_set
katalysator-link,catalyzer_link
anzielendes teilsystem,targeting_subsystem
strun wraith: gehäuse,strun_wraith_receiver
tektonischer bruch,tectonic_fracture
mantis: set,mantis_set
säure-patronen,acid_shells
nachtwächter-napalm,nightwatch_napalm
quasarbohrer,quasar_drill
kometensturm,comet_blast
nebelspindel,nebula_bore
kaszas: klinge,kaszas_blade
velocitus: gehäuse,velocitus_receiver
fluctus: lauf,fluctus_barrel
fluctus: arme,fluctus_limbs
fluctus: schaft,fluctus_stock
decurion: lauf,decurion_barrel
hydroid prime: set,hydroid_prime_set
läuterung der orokin,cleanse_corrupted
kappa-signalfeuer,kappa_beacon
sterncrimzian,star_crimzian
virtuos: schlag,virtuos_strike
jäger: adrenalin,hunter_adrenaline
viper wraith,viper_wraith
photora-szene: orokin wrack plaza,orokin_derelict_plaza_scene
photora-szene: grineer werftmanufaktur,grineer_shipyards_manufactory_scene
photora-szene: befallene schiffsbrücke,infested_ship_bridge_scene
photora-szene: lua kinderzimmer,lua_nursery_scene
photora-szene: corpus gas city-leitung,corpus_gas_city_conduit_scene
photora-szene: grineer siedlungsreaktor,grineer_settlement_reactor_scene
photora-szene: corpus eisplanetenwrack,corpus_ice_planet_wreckage_scene
eidolon madurai-linse,eidolon_madurai_lens
eidolon vazarin-linse,eidolon_vazarin_lens
eidolon unairu-linse,eidolon_unairu_lens
zephyr prime: chassis blaupause,zephyr_prime_chassis_blueprint
photora-szene: mycona kolonie,mycona_colony_scene
pax: aufstieg,pax_soar
redeemer prime: klinge,redeemer_prime_blade
akjagara prime: gehäuse,akjagara_prime_receiver
kitgun riven-mod (veiled),kitgun_riven_mod_(veiled)
spektra-siphon,spectrosiphon
wolfshammer: kopf,wolf_sledge_head
wolfshammer: set,wolf_sledge_set
photora-szene: orbis-tal,orb_vallis_scene
zhuge prime: griff,zhuge_prime_grip
gefrorene kraft,freeze_force
wirbelnder tiger,swirling_tiger
schnelles denken,quick_thinking
wyrm prime blaupause,wyrm_prime_blueprint
gefederte klinge,spring_loaded_blade
kinetische ablenkung,kinetic_diversion
mächtiger wurf,power_throw
schicksalhafte wahrheit,fateful_truth
bösartige kraft,malignant_force
überlegene verteidigung,superior_defenses
energieumkehrung,energy_inversion
zerschmetternde gerechtigkeit,shattering_justice
schnelle hände,fast_hands
polarmagazin,polar_magazine
gewehr-verbesserung,rifle_amp
ersatzteile,spare_parts
kein zurück,no_return
verdampfen,vaporize
bösartige streuung,vicious_spread
feindgespür,enemy_sense
blinde wut,blind_rage
munition-wandler: gewehr,rifle_ammo_mutation
imperator vandal: lauf,imperator_vandal_barrel
orthos prime: klinge,orthos_prime_blade
loki prime: systeme blaupause,loki_prime_systems_blueprint
naramon-linse,naramon_lens
interagierende trift,coaction_drift
verstand,shotgun_savvy
vulkanische schneide,volcanic_edge
odonata prime: harnisch blaupause,odonata_prime_harness_blueprint
zweiter wind,secondary_wind
odonata prime: systeme blaupause,odonata_prime_systems_blueprint
punktangriff,point_strike
aufsteigender schlag,soaring_strike
einprügeln,pummel
velocitus: schaft,velocitus_stock
rathbone: griff,rathbone_handle
rathbone: kopf,rathbone_head
latron wraith: lauf,latron_wraith_barrel
flammenladung,heated_charge
systemumgehung,system_reroute
gorgon wraith: gehäuse,gorgon_wraith_receiver
kalkulierter schuss,calculated_shot
lebenskraft,vigor
hikou prime: tasche,hikou_prime_pouch
reaper prime blaupause,reaper_prime_blueprint
arkaner thrak helm,arcane_thrak_helmet
primed aus nächster nähe,primed_point_blank
dreifache wucht,power_of_three
rhino prime: neuroptik blaupause,rhino_prime_neuroptics_blueprint
entwaffnende reinheit,disarming_purity
gorgon wraith: schaft,gorgon_wraith_stock
ballistica prime: sehne,ballistica_prime_string
gekreuzte schlangen,crossing_snakes
erholung,rejuvenation
graben,dig
reißwolf,shredder
anhaltendes elend,continuous_misery
vasto prime: set,vasto_prime_set
arkaner avalon helm,arcane_avalon_helmet
thermitpatronen,thermite_rounds
arkaner flux helm,arcane_flux_helmet
telos akbolto,telos_akbolto
arkaner aura helm,arcane_aura_helmet
sancti castanas,sancti_castanas
riftschlag,rift_strike
vulkanblitz,vulcan_blitz
arkaner gambit helm,arcane_gambit_helmet
arkaner chlora helm,arcane_chlora_helmet
arkaner esprit helm,arcane_esprit_helmet
arkana: trickserei,arcane_trickery
oberon prime: neuroptik blaupause,oberon_prime_neuroptics_blueprint
volt prime: neuroptik blaupause,volt_prime_neuroptics_blueprint
arkaner phoenix helm,arcane_phoenix_helmet
ballistica prime: unterteil,ballistica_prime_lower_limb
volt prime: chassis blaupause,volt_prime_chassis_blueprint
marquise-veridos,marquise_veridos
arkaner reverb helm,arcane_reverb_helmet
explosive taschenspielerei,explosive_legerdemain
peinigung der orokin,smite_corrupted
arkaner hemlock helm,arcane_hemlock_helmet
vampiregel,vampire_leech
zhuge prime blaupause,zhuge_prime_blueprint
ninkondi prime: kette,ninkondi_prime_chain
zhuge prime: gehäuse,zhuge_prime_receiver
zhuge prime: set,zhuge_prime_set
wukong prime: neuroptik blaupause,wukong_prime_neuroptics_blueprint
verheerende ausweitung,ruinous_extension
wildheit,savagery
cleverer schachzug,pistol_gambit
glänzender pesthauch,gleaming_blight
ember prime: neuroptik blaupause,ember_prime_neuroptics_blueprint
beständige pein,lingering_torment
hammerschuss,hammer_shot
primed munition-wandler: schrot,primed_shotgun_ammo_mutation
arkana: geschwindigkeit,arcane_velocity
nyx prime blaupause,nyx_prime_blueprint
dera vandal: schaft,dera_vandal_stock
karak wraith blaupause,karak_wraith_blueprint
nyx prime: systeme blaupause,nyx_prime_systems_blueprint
schwungleine,swing_line
dual-kamas prime: set,dual_kamas_prime_set
gemessener stoß,measured_burst
sicherer tausch,safeguard_switch
prisma shade,prisma_shade
photora-szene: gas city lobby,gas_city_lobby_scene
überdehnt,overextended
beschützen,protect
sonnenfinsternis,total_eclipse
arkaner pulse helm,arcane_pulse_helmet
vigilanten: verfolgung,vigilante_pursuit
reinigender schnitt,purging_slash
arkaner mag gauss helm,arcane_mag_gauss_helmet
ancient fusion core,ancient_fusion_core
furax wraith: rechter handschuh,furax_wraith_right_gauntlet
bohrender schlag,auger_strike
nyx prime: neuroptik blaupause,nyx_prime_neuroptics_blueprint
rhino prime blaupause,rhino_prime_blueprint
ruhige hand,steady_hands
tigris prime: gehäuse,tigris_prime_receiver
energie-umwandlung,energy_conversion
arkana: widerstand,arcane_resistance
tödlicher schwall,lethal_torrent
war: klinge,war_blade
schwachstelle entdecken,detect_vulnerability
elementarer sandsturm,elemental_sandstorm
stahlfasern,steel_fiber
magazin-erweiterung,magazine_extension
verdeckter sprengstoff,concealed_explosives
primed verwüstung,primed_ravage
erschöpftes nachladen,depleted_reload
helios prime: panzer,helios_prime_carapace
wyrm prime: systeme,wyrm_prime_systems
trinity prime: neuroptik blaupause,trinity_prime_neuroptics_blueprint
gedankenfreak,mind_freak
fang prime: griff,fang_prime_handle
stromlinie,streamline
isolierung,insulation
hochdruck-magazin,pressurized_magazine
hinterhältige optik,ambush_optics
nyx prime: chassis blaupause,nyx_prime_chassis_blueprint
aufnahmefähigkeit,capacitance
patronen-verdichtung,shell_compression
loki prime: chassis blaupause,loki_prime_chassis_blueprint
bohrung,bore
signalfackel,signal_flare
blitzschnell,lightning_dash
mag prime: chassis blaupause,mag_prime_chassis_blueprint
snipetron vandal: set,snipetron_vandal_set
rammbock-manöver,battering_maneuver
durchbohrender schritt,piercing_step
feuriger wahnsinn,fireball_frenzy
dauerhafte reinheit,lasting_purity
energie-regeneration,energy_siphon
pirsch,stalk
magazin-umwandlung,magazine_warp
infiltrieren,infiltrate
windende viper,coiling_viper
primed druckpunkt,primed_pressure_point
kälteschub,cold_snap
höllenkammer,hells_chamber
gestapelte zerstörung,stockpiled_blight
nami skyla prime: griff,nami_skyla_prime_handle
brechender wind,fracturing_wind
detonation,fulmination
trommelmagazin,ammo_drum
hoheitlicher verbannter,sovereign_outcast
gladiator: macht,gladiator_might
schwerer einschlag,heavy_impact
donnerkeil,thunderbolt
fluss des lebens,pool_of_life
entropie-stoß,entropy_burst
fatale anziehung,fatal_attraction
seismische hand,seismic_palm
druckpunkt,pressure_point
modifizierte munition,modified_munitions
naturtalent,natural_talent
nadelgeschosse,flechette
schimmernder hauch,shimmering_blight
gerechtigkeits-klinge,justice_blades
sirrender tod,buzz_kill
pyrana prime blaupause,pyrana_prime_blueprint
pyrana prime: gehäuse,pyrana_prime_receiver
pyrana prime: lauf,pyrana_prime_barrel
destreza prime: set,destreza_prime_set
primed grineer verjagen,primed_expel_grineer
primed corpus verjagen,primed_expel_corpus
primed befallene verjagen,primed_expel_infested
primed verbannung der orokin,primed_expel_corrupted
erschütternde hände,quaking_hand
flammendrüse,flame_gland
teilende klingen,dividing_blades
glatter phasmin,smooth_phasmin
arkana: puls,arcane_pulse
plötzliche gerechtigkeit,sudden_justice
blutrausch,blood_rush
schrapnellschuss,shrapnel_shot
kühlmittelleck,coolant_leak
erholende abwehr,ward_recovery
primed flammenladung,primed_heated_charge
neutronenstern,neutron_star
schädel-geschosse,skull_shots
loki prime: neuroptik blaupause,loki_prime_neuroptics_blueprint
vigilanten: eifer,vigilante_fervor
ankyros prime: klinge,ankyros_prime_blade
ankyros prime: handschuh,ankyros_prime_gauntlet
bo prime blaupause,bo_prime_blueprint
silva & ägis prime: schutz,silva_and_aegis_prime_guard
bösartiger frost,vicious_frost
gezackter rand,jagged_edge
schildzerstörer,shield_disruption
magus: vitalität,magus_vigor
schrotflintensalve,shotgun_barrage
arkaner swindle helm,arcane_swindle_helmet
gladiator: laster,gladiator_vice
arkaner meridian helm,arcane_meridian_helmet
legendary fusion core,legendary_fusion_core
tigris prime: schaft,tigris_prime_stock
drehende nadel,spinning_needle
snipetron vandal: schaft,snipetron_vandal_stock
flächenbrand,wildfire
verderben der grineer,bane_of_grineer
scimitar: avionik blaupause,scimitar_avionics_blueprint
abwehrreflex,reflex_guard
ewige abwehr,everlasting_ward
ash prime: neuroptik blaupause,ash_prime_neuroptics_blueprint
ruck,jolt
vectis prime: schaft,vectis_prime_stock
überwältigende geschwindigkeit,stunning_speed
primed kontinuität,primed_continuity
bo prime: griff,bo_prime_handle
crashkurs,crash_course
vitaler bypass,vital_systems_bypass
singularität,singularity
gepanzerte akrobatik,armored_acrobatics
tödlicher schwung,lethal_momentum
primed verderben der befallenen,primed_bane_of_infested
primed verderben der corpus,primed_bane_of_corpus
carrier prime blaupause,carrier_prime_blueprint
listige maskierung,vulpine_mask
primed verderben der grineer,primed_bane_of_grineer
vectis prime: lauf,vectis_prime_barrel
taktisches laden,tactical_pump
arkaner menticide helm,arcane_menticide_helmet
arkaner aurora helm,arcane_aurora_helmet
soma prime blaupause,soma_prime_blueprint
entfesselt,unleashed
vasto prime: lauf,vasto_prime_barrel
arkaner chorus helm,arcane_chorus_helmet
vasto prime blaupause,vasto_prime_blueprint
entropie-flug,entropy_flight
saryn prime: set,saryn_prime_set
knallende vert,poppin_vert
magus: reparatur,magus_repair
magus: glitch,magus_glitch
perfekte balance,perfect_balance
infektion: konsumieren,strain_consume
zaw riven-mod (veiled),zaw_riven_mod_(veiled)
wolfshammer blaupause,wolf_sledge_blueprint
magus: überlastung,magus_overload
molekulare spaltung,molecular_fission
wolfshammer: motor,wolf_sledge_motor
wilde rage,wild_frenzy
napalm-granaten,napalm_grenades
tipedo prime: griff,tipedo_prime_handle
stradavar prime: set,stradavar_prime_set
equinox prime blaupause,equinox_prime_blueprint
bronco prime: lauf,bronco_prime_barrel
war: griff,war_hilt
nova prime: systeme blaupause,nova_prime_systems_blueprint
frost prime blaupause,frost_prime_blueprint
bronco prime blaupause,bronco_prime_blueprint
astrales zwielicht,astral_twilight
schnappschuss,snap_shot
burston prime: gehäuse,burston_prime_receiver
fang prime: klinge,fang_prime_blade
vauban prime: neuroptik blaupause,vauban_prime_neuroptics_blueprint
hikou prime: sterne,hikou_prime_stars
eindringling,intruder
prisma angstrum,prisma_angstrum
phaedra: schaft,phaedra_stock
schmoren,scorch
entropie-spitze,entropy_spike
elfter sturm,eleventh_storm
nova prime: neuroptik blaupause,nova_prime_neuroptics_blueprint
antimaterie-mine,antimatter_mine
nova prime: chassis blaupause,nova_prime_chassis_blueprint
prisma-schutz,prism_guard
reservemagazin,trick_mag
nova prime blaupause,nova_prime_blueprint
irreleitendes band,deceptive_bond
frost prime: neuroptik blaupause,frost_prime_neuroptics_blueprint
arkaner squall helm,arcane_squall_helmet
kalkulierte umlenkung,calculated_redirection
geladene patrone,charged_shell
corpus läutern,cleanse_corpus
sengender stahl,searing_steel
beschleunigte ablenkung,accelerated_deflection
klirrender wald,clashing_forest
ursprüngliche rage,primal_rage
himmlischer tritt,celestial_stomp
secura penta,secura_penta
klingenschuss,razor_shot
schleichender schrecken,creeping_terrify
trinity prime blaupause,trinity_prime_blueprint
bittere wut,grim_fury
ayatan-skulptur: orta,ayatan_orta_sculpture
energiekanal,energy_channel
heilige abrechnung,hallowed_reckoning
zuckungen,convulsion
arkana: furie,arcane_fury
schnelle genesung,rapid_resilience
pistolen pestilenz,pistol_pestilence
primed morphid-umformer,primed_morphic_transformer
gebrechlicher schwung,frail_momentum
pathogenprojektile,pathogen_rounds
arkana: ägis,arcane_aegis
plötzlicher einschlag,sudden_impact
arkana: konsequenz,arcane_consequence
gehärtete klinge,tempered_blade
corpus bestrafen,smite_corpus
arkana: antrieb,arcane_energize
gezahnte salve,fanged_fusillade
gladiator: schneid,gladiator_resolve
geist,ghost
raueis kugeln,rime_rounds
vulkar wraith,vulkar_wraith
ayatan-skulptur: piv,ayatan_piv_sculpture
negierende rüstung,negation_swarm
donnerbüchse,blunderbuss
sybaris prime: lauf,sybaris_prime_barrel
centaur: ägis,centaur_aegis
cephalon suda augment mod,cephalon_suda_augment_mod
banshee prime: chassis blaupause,banshee_prime_chassis_blueprint
eiskalter griff,chilling_grasp
wukong prime: chassis blaupause,wukong_prime_chassis_blueprint
lodernder stahl,blazing_steel
anheizen,fired_up
schmetternder sturm,shattering_storm
angstgespür,sense_danger
kugeltanz,bullet_dance
zwillingsvipern wraith blaupause,twin_vipers_wraith_blueprint
geteilte kammer,split_chamber
nordwind,north_wind
schrotplünderer,shotgun_scavenger
synoid gammacor,synoid_gammacor
helios prime: set,helios_prime_set
rakta ballistica,rakta_ballistica
hydroid prime: neuroptik blaupause,hydroid_prime_neuroptics_blueprint
gieriger sog,greedy_pull
silva & ägis prime: set,silva_and_aegis_prime_set
schutzort,sanctuary
fesselgranaten,tether_grenades
flieger,aviator
herabschießender falke,swooping_falcon
konstitution,constitution
peinigender einfluss,smite_infusion
kubrow-halsband: kavasa prime: set,kavasa_prime_kubrow_collar_set
latron prime: set,latron_prime_set
lex prime: set,lex_prime_set
odonata prime: set,odonata_prime_set
gewehr-gleitflug,gun_glide
rauhreif gruft,rime_vault
besiegte beute,vanquished_prey
voltaische lanze,voltaic_lance
gewandtes tempo,deft_tempo
doppel-treffer,double_tap
letzter akt,final_act
letzter treffer,final_tap
hydraulische kammer,hydraulic_chamber
hydraulische anzeige,hydraulic_gauge
lockerer verschluss,loose_hatch
enger lauf,narrow_barrel
strun wraith: lauf,strun_wraith_barrel
eidolon zenurik-linse,eidolon_zenurik_lens
destreza prime: griff,destreza_prime_handle
verbesserte belastbarkeit,enhanced_durability
holster-verbesserung,holster_amp
arkana: hieb,arcane_strike
unheimliche ausstreckung,sinister_reach
vectis prime: set,vectis_prime_set
schnitzende gottesanbeterin,carving_mantis
primed rudelanführer,primed_pack_leader
arkana: nullfeld,arcane_nullifier
rhino prime: set,rhino_prime_set
sicarus prime: set,sicarus_prime_set
grinloked,grinloked
arkana: sieg,arcane_victory
eilige schritte,hastened_steps
lauerstellung,lie_in_wait
boltor prime: gehäuse,boltor_prime_receiver
boltor prime: schaft,boltor_prime_stock
nachtpirscher,night_stalker
synoid heliocor,synoid_heliocor
elytron: systeme,elytron_systems_blueprint
steel meridian augment mod,steel_meridian_augment_mod
schattenhaftes ernten,shadow_harvest
silbernes peitschen,argent_scourge
tigris prime: lauf,tigris_prime_barrel
magazinauswurf,eject_magazine
plan b,plan_b
brennende wespe,burning_wasp
geschärfte kugeln,sharpened_bullets
ripper-kugeln,ripper_rounds
soma prime: gehäuse,soma_prime_receiver
mähender wirbel,reaping_spiral
soma prime: schaft,soma_prime_stock
geschärfte klinge,sharpened_blade
gleitender beschuss,strafing_slide
scimitar: set,scimitar_set
überschussableiter,surplus_diverters
kataklysmus kontinuum,cataclysmic_continuum
braton prime: set,braton_prime_set
unermüdlicher angriff,relentless_assault
silva & ägis prime: griff,silva_and_aegis_prime_hilt
kalkulierte feder,calculated_spring
kometenkugeln,comet_rounds
hydroid prime: chassis blaupause,hydroid_prime_chassis_blueprint
aklex prime blaupause,aklex_prime_blueprint
aklex prime: set,aklex_prime_set
ballistica prime blaupause,ballistica_prime_blueprint
gespaltene ruhe,tranquil_cleave
verbinde vitalität,link_vitality
rudelanführer,pack_leader
unsterbliche seele,soul_survivor
molekulare wandlung,molecular_conversion
schläger,thumper
sprint,rush
infiziertes magazin,infected_clip
befallene läutern,cleanse_infested
stichflamme,blaze
vakuum,vacuum
energiegenerator,energy_generator
scharlachroter orkan,scarlet_hurricane
boshafte annäherung,vicious_approach
frostkiefer,frost_jaw
schockhalsband,shock_collar
dresch-landung,thrash_landing
motus: effekt,motus_impact
aero: vorteil,aero_vantage
motus: setup,motus_setup
sturmschlag,gale_kick
motus: signal,motus_signal
photora-szene: deck 12,deck_12_scene
ninkondi prime blaupause,ninkondi_prime_blueprint
zhuge prime: lauf,zhuge_prime_barrel
ninkondi prime: griff,ninkondi_prime_handle
ninkondi prime: set,ninkondi_prime_set
wukong prime: set,wukong_prime_set
scindo prime: griff,scindo_prime_handle
abscheuliche präzision,vile_precision
parallaxe-zielfernrohr,parallax_scope
vitalität,vitality
scharfschützen-plünderer,sniper_scavenger
sunika kubrow (genetischer abdruck),sunika_kubrow_imprint
adarza kavat (genetischer abdruck),adarza_kavat_imprint
rubico prime: lauf,rubico_prime_barrel
sturmbringer,stormbringer
arkana: eruption,arcane_eruption
arkaner vespa helm,arcane_vespa_helmet
flucht-geschwindigkeit,escape_velocity
befallene verjagen,expel_infested
photora-szene: gas city bewölkte aussicht,gas_city_cloud_vista_scene
brandmunition,combustion_rounds
munition-wandler: scharfschütze,sniper_ammo_mutation
loki prime blaupause,loki_prime_blueprint
suchende kraft,seeking_force
panzerbrecher,target_cracker
flüchtige expertise,fleeting_expertise
kritische verzögerung,critical_delay
provozieren,provoked
verdorbener schlag,spoiled_strike
feuer-beschichtung,incendiary_coat
arkaner coil helm,arcane_coil_helmet
augur: abkommen,augur_accord
durchbruchslader,breach_loader
dual-kamas prime blaupause,dual_kamas_prime_blueprint
gaia's tragödie,gaias_tragedy
latron prime: lauf,latron_prime_barrel
karak wraith: lauf,karak_wraith_barrel
zenurik-linse,zenurik_lens
agile trift,agility_drift
biss,bite
nachbrennen,afterburn
aufziehender sturm,rising_storm
ember prime: set,ember_prime_set
umlenkung,redirection
fang prime: set,fang_prime_set
eisige kugel,chilling_globe
mag prime: set,mag_prime_set
exotherm,exothermic
nekros prime: neuroptik blaupause,nekros_prime_neuroptics_blueprint
adlerauge,eagle_eye
schild überlast,shield_overload
bogenspule,arc_coil
chaos sphäre,chaos_sphere
hysterische fixierung,hysterical_fixation
entweihte abrechnung,defiled_reckoning
crash-schuss,crash_shot
munitionskiste,ammo_case
euphona prime: set,euphona_prime_set
klinge der wahrheit,blade_of_truth
fokussierte energie,focus_energy
falkenauge,hawk_eye
boar prime blaupause,boar_prime_blueprint
oberon prime: set,oberon_prime_set
centaur: klinge,centaur_blade
reißende kerbe,sweeping_serration
agkuza: klinge,agkuza_blade
verbinde umlenkung,link_redirection
tiberon prime blaupause,tiberon_prime_blueprint
prisma dual-cleavers,prisma_dual_cleavers
gezielte annäherung,directed_convergence
saryn prime blaupause,saryn_prime_blueprint
primed schweres trauma,primed_heavy_trauma
arkana: erwachen,arcane_awakening
gamma-signalfeuer,gamma_beacon
arkana: ultimatum,arcane_ultimatum
dera vandal blaupause,dera_vandal_blueprint
prisma obex,prisma_obex
bo prime: set,bo_prime_set
boar prime: set,boar_prime_set
ballistica prime: gehäuse,ballistica_prime_receiver
boltor prime: set,boltor_prime_set
strun wraith: schaft,strun_wraith_stock
strun wraith: set,strun_wraith_set
kogake prime: set,kogake_prime_set
kogake prime: handschuh,kogake_prime_gauntlet
zephyr prime blaupause,zephyr_prime_blueprint
lato vandal: set,lato_vandal_set
lato vandal blaupause,lato_vandal_blueprint
lato vandal: lauf,lato_vandal_barrel
braton vandal: set,braton_vandal_set
photora-szene: grineer siedlung artillerie,grineer_settlement_artillery_scene
photora-szene: kuva festung spalte,kuva_fortress_crevice_scene
photora-szene: grineer unterwasserlabor zentrifuge,grineer_sealab_centrifuge_scene
photora-szene: lua balkon,lua_balcony_scene
wiedererwachen,reawaken
valkyr prime: neuroptik blaupause,valkyr_prime_neuroptics_blueprint
centaur: griff,centaur_handle
augur: nachricht,augur_message
wahre bestrafung,true_punishment
entropie-explosion,entropy_detonation
zerreißender kranich,rending_crane
luftaufklärung,air_recon
venka prime blaupause,venka_prime_blueprint
euphona prime blaupause,euphona_prime_blueprint
onorix: griff,onorix_handle
aus nächster nähe,point_blank
reflektion,reflection
stechender dorn,stinging_thorn
schrot-verbesserung,shotgun_amp
magus: anomalie,magus_anomaly
dual-kamas prime: griff,dual_kamas_prime_handle
virtuos: überspannung,virtuos_surge
markiertes ziel,marked_target
verstärkte klingen,empowered_blades
kavasa prime : schnalle,kavasa_prime_buckle
infektion: ausbruch,strain_eruption
zusammenhalt,stand_united
kavasa prime: band,kavasa_prime_band
photora-szene: kuva thron,kuva_throne_scene
photora-szene: sanctuary verbindung,sanctuary_conduit_scene
giftzähne,venom_teeth
aufsteigender stahl,rising_steel
stechender zorn,piercing_fury
stern-amarast,star_amarast
venerdo hoverantrieb,venerdo_hoverdrive
bremsspur,trail_blazer
materie scannen,scan_matter
kinetische reibung,kinetic_friction
scan aquatic lifeforms,scan_lifeforms
schwerelos,air_time
schienenschützer,rail_guards
angriff,assault_mode
mag-verschlüsse,mag_locks
trägheitsdämpfer,inertia_dampeners
akvasto prime: set,akvasto_prime_set
ewige agonie,perpetual_agony
gepanzerte beweglichkeit,armored_agility
opferzahl,body_count
arkana: deflektion,arcane_deflection
nässende wunden,weeping_wounds
akbronco prime: verbindung,akbronco_prime_link
zinnober sturm,vermillion_storm
verstümmelnder schlag,maiming_strike
aufspürer,investigator
flammenläufer,firewalker
hydraulisches fadenkreuz,hydraulic_crosshairs
giftiger flug,toxic_flight
laservisier,laser_sight
befallene bestrafen,smite_infested
giftdosis,venom_dose
reissende wende,rending_turn
seismische welle,seismic_wave
dakra prime: griff,dakra_prime_handle
grineer verjagen,expel_grineer
soma prime: lauf,soma_prime_barrel
mag prime: neuroptik blaupause,mag_prime_neuroptics_blueprint
primed schnelle hände,primed_fast_hands
furax wraith: set,furax_wraith_set
meisterschütze,dead_eye
nahkampf riven-mod (veiled),melee_riven_mod_(veiled)
ätzende projektion,corrosive_projection
pistolen riven-mod (veiled),pistol_riven_mod_(veiled)
schweres trauma,heavy_trauma
exodia: tapferkeit,exodia_valor
aufgeladene kammer,charged_chamber
ungestrafte flut,tidal_impunity
durchdringendes kaliber,piercing_caliber
arkaner backdraft helm,arcane_backdraft_helmet
haftsprengung,adhesive_blast
kinetische kollision,kinetic_collision
donner-miter,thundermiter
letzte berührung,finishing_touch
statischer eifer,static_alacrity
