fr,slug
doubles cestras secura,secura_dual_cestra
mire rampante,creeping_bullseye
alad v mutaliste assassinat (key),mutalist_alad_v_assassinate_key
désarmement irradiant,irradiating_disarm
absorption d'antimatière,antimatter_absorb
arcane barrière,arcane_barrier
arcane glace,arcane_ice
boltor telos,telos_boltor
frost prime - set,frost_prime_set
lien catalyseur,catalyzer_link
sous-système de ciblage,targeting_subsystem
strun wraith - culasse,strun_wraith_receiver
fracture tectonique,tectonic_fracture
mantis - set,mantis_set
cartouches acides,acid_shells
napalm du nightwatch,nightwatch_napalm
foreuse quasar,quasar_drill
comète explosive,comet_blast
nébuleuse perçante,nebula_bore
kaszas - lame,kaszas_blade
velocitus - culasse,velocitus_receiver
fluctus - canon,fluctus_barrel
fluctus - branches,fluctus_limbs
fluctus - crosse,fluctus_stock
decurion - canon,decurion_barrel
hydroid prime - set,hydroid_prime_set
purifie-orokins,cleanse_corrupted
balise kappa,kappa_beacon
crimzian étoilé,star_crimzian
virtuos attaque,virtuos_strike
adrénaline du chasseur,hunter_adrenaline
viper wraith,viper_wraith
scène d'épave orokin,orokin_derelict_plaza_scene
scène des chantiers spatiaux grineers,grineer_shipyards_manufactory_scene
scène de pont de vaisseau infesté,infested_ship_bridge_scene
scène du berceau de lua,lua_nursery_scene
scène de gazoduc urbain corpus,corpus_gas_city_conduit_scene
scène de réacteur de colonie grineer,grineer_settlement_reactor_scene
scène d'épave corpus sur la planète de glace,corpus_ice_planet_wreckage_scene
lentille madurai eidolon,eidolon_madurai_lens
lentille vazarin eidolon,eidolon_vazarin_lens
lentille unairu eidolon,eidolon_unairu_lens
zephyr prime - châssis (schéma),zephyr_prime_chassis_blueprint
scène de la colonie de mycona,mycona_colony_scene
pax envol,pax_soar
redeemer prime - lame,redeemer_prime_blade
akjagara prime - culasse,akjagara_prime_receiver
mod riven de kitgun (veiled),kitgun_riven_mod_(veiled)
spectrosiphon,spectrosiphon
marteau du loup - tête,wolf_sledge_head
marteau du loup - set,wolf_sledge_set
scène de la vallée orbis,orb_vallis_scene
zhuge prime - crosse,zhuge_prime_grip
force de gel,freeze_force
tigre tourbillonnant,swirling_tiger
pensée rapide,quick_thinking
wyrm prime (schéma),wyrm_prime_blueprint
lame à ressorts,spring_loaded_blade
détournement cinétique,kinetic_diversion
lancer puissant,power_throw
vérité fatidique,fateful_truth
force maligne,malignant_force
défenses supérieures,superior_defenses
inversion d'énergie,energy_inversion
justice accablante,shattering_justice
mains rapides,fast_hands
chargeur polaire,polar_magazine
fusil amplifié,rifle_amp
pièces de rechange,spare_parts
sans retour,no_return
vaporisation,vaporize
dispersion vicieuse,vicious_spread
perception des ennemis,enemy_sense
colère aveugle,blind_rage
mutation de fusil,rifle_ammo_mutation
imperator vandal - canon,imperator_vandal_barrel
orthos prime - lame,orthos_prime_blade
loki prime - systèmes (schéma),loki_prime_systems_blueprint
lentille naramon,naramon_lens
art de la coaction,coaction_drift
habile du canon,shotgun_savvy
fil volcanique,volcanic_edge
odonata prime - harnais (schéma),odonata_prime_harness_blueprint
seconde chance,secondary_wind
odonata prime - systèmes (schéma),odonata_prime_systems_blueprint
frappe tendue,point_strike
attaque ascendante,soaring_strike
martèlement,pummel
velocitus - crosse,velocitus_stock
rathbone - manche,rathbone_handle
rathbone - tête,rathbone_head
latron wraith - canon,latron_wraith_barrel
charge de chaleur,heated_charge
redirection de système,system_reroute
gorgon wraith - culasse,gorgon_wraith_receiver
tir calculé,calculated_shot
vigueur,vigor
hikou prime - pochette,hikou_prime_pouch
reaper prime (schéma),reaper_prime_blueprint
casque thrak arcane,arcane_thrak_helmet
à bout portant accru,primed_point_blank
le pouvoir des trois,power_of_three
rhino prime - neuroptiques (schéma),rhino_prime_neuroptics_blueprint
pureté désarmante,disarming_purity
gorgon wraith - crosse,gorgon_wraith_stock
ballistica prime - corde,ballistica_prime_string
serpents croisés,crossing_snakes
rajeunissement,rejuvenation
déterrement,dig
déchiqueteur,shredder
souffrances continues,continuous_misery
vasto prime - set,vasto_prime_set
casque avalon arcane,arcane_avalon_helmet
balles de thermite,thermite_rounds
casque flux arcane,arcane_flux_helmet
akbolto telos,telos_akbolto
casque aura arcane,arcane_aura_helmet
castanas sancti,sancti_castanas
frappe dimensionnelle,rift_strike
blitz vulcain,vulcan_blitz
casque gambit arcane,arcane_gambit_helmet
casque chlora arcane,arcane_chlora_helmet
casque esprit arcane,arcane_esprit_helmet
arcane tromperie,arcane_trickery
oberon prime - neuroptiques (schéma),oberon_prime_neuroptics_blueprint
volt prime - neuroptiques (schéma),volt_prime_neuroptics_blueprint
casque phénix arcane,arcane_phoenix_helmet
ballistica prime - partie inférieure,ballistica_prime_lower_limb
volt prime - châssis (schéma),volt_prime_chassis_blueprint
veridos marquise,marquise_veridos
casque reverb arcane,arcane_reverb_helmet
prestidigitation explosive,explosive_legerdemain
châtie-orokins,smite_corrupted
casque hemlock arcane,arcane_hemlock_helmet
vampire insatiable,vampire_leech
zhuge prime (schéma),zhuge_prime_blueprint
ninkondi prime - chaîne,ninkondi_prime_chain
zhuge prime - culasse,zhuge_prime_receiver
zhuge prime - set,zhuge_prime_set
wukong prime - neuroptiques (schéma),wukong_prime_neuroptics_blueprint
prolongement ruineux,ruinous_extension
sauvagerie,savagery
manœuvre de pistolet,pistol_gambit
fléau brillant,gleaming_blight
ember prime - neuroptiques (schéma),ember_prime_neuroptics_blueprint
supplice persistant,lingering_torment
marteau-pilon,hammer_shot
mutation de fusil à pompe accrue,primed_shotgun_ammo_mutation
arcane vélocité,arcane_velocity
nyx prime (schéma),nyx_prime_blueprint
dera vandal - crosse,dera_vandal_stock
karak wraith (schéma),karak_wraith_blueprint
nyx prime - systèmes (schéma),nyx_prime_systems_blueprint
ligne pivotante,swing_line
doubles kamas prime - set,dual_kamas_prime_set
rafale contrôlée,measured_burst
transposition de sauvegarde,safeguard_switch
shade prisma,prisma_shade
scène du hall de la cité gazière,gas_city_lobby_scene
super-étendu,overextended
protection,protect
éclipse totale,total_eclipse
casque impulsion arcane,arcane_pulse_helmet
poursuite du vigile,vigilante_pursuit
saignée d'urgence,purging_slash
casque mag gauss arcane,arcane_mag_gauss_helmet
ancient fusion core,ancient_fusion_core
furax wraith - gantelet droit,furax_wraith_right_gauntlet
frappe vrillée,auger_strike
nyx prime - neuroptiques (schéma),nyx_prime_neuroptics_blueprint
rhino prime (schéma),rhino_prime_blueprint
mains stables,steady_hands
tigris prime - culasse,tigris_prime_receiver
conversion d'énergie,energy_conversion
arcane résistance,arcane_resistance
déluge mortel,lethal_torrent
war - lame,war_blade
détection de vulnérabilité,detect_vulnerability
tempête de sable élémentaire,elemental_sandstorm
fibre d'acier,steel_fiber
chargeur profond,magazine_extension
explosifs dissimulés,concealed_explosives
ravage accru,primed_ravage
recharge réduite,depleted_reload
helios prime - carapace,helios_prime_carapace
wyrm prime - systèmes,wyrm_prime_systems
trinity prime - neuroptiques (schéma),trinity_prime_neuroptics_blueprint
caprice mental,mind_freak
fang prime - garde,fang_prime_handle
rationalisation,streamline
isolation,insulation
chargeur sous pression,pressurized_magazine
viseur d'embuscade,ambush_optics
nyx prime - châssis (schéma),nyx_prime_chassis_blueprint
surtension,capacitance
balles comprimées,shell_compression
loki prime - châssis (schéma),loki_prime_chassis_blueprint
perceur,bore
fusée de marquage,signal_flare
élan foudroyant,lightning_dash
mag prime - châssis (schéma),mag_prime_chassis_blueprint
snipetron vandal - set,snipetron_vandal_set
manœuvre fracassante,battering_maneuver
pas perçant,piercing_step
