it,slug
secura dual cestra,secura_dual_cestra
creeping bullseye,creeping_bullseye
assassinio mutalist alad v (key),mutalist_alad_v_assassinate_key
irradiating disarm,irradiating_disarm
antimatter absorb,antimatter_absorb
arcane barrier,arcane_barrier
arcane ice,arcane_ice
telos boltor,telos_boltor
frost prime set,frost_prime_set
catalyzer link,catalyzer_link
targeting subsystem,targeting_subsystem
strun wraith - castello,strun_wraith_receiver
tectonic fracture,tectonic_fracture
mantis set,mantis_set
acid shells,acid_shells
nightwatch napalm,nightwatch_napalm
quasar drill,quasar_drill
comet blast,comet_blast
nebula bore,nebula_bore
kaszas - lama,kaszas_blade
velocitus - castello,velocitus_receiver
fluctus - canna,fluctus_barrel
fluctus - flettenti,fluctus_limbs
fluctus - calcio,fluctus_stock
decurion - canna,decurion_barrel
hydroid prime set,hydroid_prime_set
cleanse orokin,cleanse_corrupted
localizzatore kappa,kappa_beacon
crimzian taglio stella,star_crimzian
virtuos strike,virtuos_strike
hunter adrenaline,hunter_adrenaline
viper wraith,viper_wraith
scenario piazzale relitto orokin,orokin_derelict_plaza_scene
scenario cantiere navale grineer,grineer_shipyards_manufactory_scene
scenario ponte nave infested,infested_ship_bridge_scene
scenario culla di lua,lua_nursery_scene
scenario condutture città gas corpus,corpus_gas_city_conduit_scene
scenario insediamento reattore grineer,grineer_settlement_reactor_scene
scenario relitti corpus pianeta di ghiaccio,corpus_ice_planet_wreckage_scene
lente madurai eidolon,eidolon_madurai_lens
lente vazarin eidolon,eidolon_vazarin_lens
lente unairu eidolon,eidolon_unairu_lens
zephyr prime - chassis (schema),zephyr_prime_chassis_blueprint
scenario colonia mycona,mycona_colony_scene
pax soar,pax_soar
redeemer prime - lama,redeemer_prime_blade
akjagara prime - castello,akjagara_prime_receiver
riven mod kitgun (veiled),kitgun_riven_mod_(veiled)
spectrosiphon,spectrosiphon
wolf sledge - testa,wolf_sledge_head
wolf sledge set,wolf_sledge_set
scenario orb vallis,orb_vallis_scene
zhuge prime - impugnatura,zhuge_prime_grip
freeze force,freeze_force
swirling tiger,swirling_tiger
quick thinking,quick_thinking
wyrm prime (schema),wyrm_prime_blueprint
spring-loaded blade,spring_loaded_blade
kinetic diversion,kinetic_diversion
power throw,power_throw
fateful truth,fateful_truth
malignant force,malignant_force
superior defenses,superior_defenses
energy inversion,energy_inversion
shattering justice,shattering_justice
fast hands,fast_hands
polar magazine,polar_magazine
rifle amp,rifle_amp
spare parts,spare_parts
no return,no_return
vaporize,vaporize
vicious spread,vicious_spread
enemy sense,enemy_sense
blind rage,blind_rage
rifle ammo mutation,rifle_ammo_mutation
imperator vandal - canna,imperator_vandal_barrel
orthos prime - lama,orthos_prime_blade
loki prime - sistemi (schema),loki_prime_systems_blueprint
lente naramon,naramon_lens
coaction drift,coaction_drift
shotgun savvy,shotgun_savvy
volcanic edge,volcanic_edge
odonata prime - imbracatura (schema),odonata_prime_harness_blueprint
secondary wind,secondary_wind
odonata prime - sistemi (schema),odonata_prime_systems_blueprint
point strike,point_strike
soaring strike,soaring_strike
pummel,pummel
velocitus - calcio,velocitus_stock
rathbone - manico,rathbone_handle
rathbone - testa,rathbone_head
latron wraith - canna,latron_wraith_barrel
heated charge,heated_charge
system reroute,system_reroute
gorgon wraith - castello,gorgon_wraith_receiver
calculated shot,calculated_shot
vigor,vigor
hikou prime - fodero,hikou_prime_pouch
reaper prime (schema),reaper_prime_blueprint
elmo arcane thrak,arcane_thrak_helmet
primed point blank,primed_point_blank
power of three,power_of_three
rhino prime - neurottiche (schema),rhino_prime_neuroptics_blueprint
disarming purity,disarming_purity
gorgon wraith - calcio,gorgon_wraith_stock
ballistica prime - corda,ballistica_prime_string
crossing snakes,crossing_snakes
rejuvenation,rejuvenation
dig,dig
shredder,shredder
continuous misery,continuous_misery
vasto prime set,vasto_prime_set
elmo arcane avalon,arcane_avalon_helmet
thermite rounds,thermite_rounds
elmo arcane flux,arcane_flux_helmet
telos akbolto,telos_akbolto
elmo arcane aura,arcane_aura_helmet
sancti castanas,sancti_castanas
rift strike,rift_strike
vulcan blitz,vulcan_blitz
elmo arcane gambit,arcane_gambit_helmet
elmo arcane chlora,arcane_chlora_helmet
elmo arcane esprit,arcane_esprit_helmet
arcane trickery,arcane_trickery
oberon prime - neurottiche (schema),oberon_prime_neuroptics_blueprint
volt prime - neurottiche (schema),volt_prime_neuroptics_blueprint
elmo arcane phoenix,arcane_phoenix_helmet
ballistica prime - flettente inferiore,ballistica_prime_lower_limb
volt prime - chassis (schema),volt_prime_chassis_blueprint
veridos taglio marquise,marquise_veridos
elmo arcane reverb,arcane_reverb_helmet
explosive legerdemain,explosive_legerdemain
smite orokin,smite_corrupted
elmo arcane hemlock,arcane_hemlock_helmet
vampire leech,vampire_leech
zhuge prime (schema),zhuge_prime_blueprint
ninkondi prime - catena,ninkondi_prime_chain
zhuge prime - castello,zhuge_prime_receiver
zhuge prime set,zhuge_prime_set
wukong prime - neurottiche (schema),wukong_prime_neuroptics_blueprint
ruinous extension,ruinous_extension
savagery,savagery
pistol gambit,pistol_gambit
gleaming blight,gleaming_blight
ember prime - neurottiche (schema),ember_prime_neuroptics_blueprint
lingering torment,lingering_torment
hammer shot,hammer_shot
primed shotgun ammo mutation,primed_shotgun_ammo_mutation
arcane velocity,arcane_velocity
nyx prime (schema),nyx_prime_blueprint
dera vandal - calcio,dera_vandal_stock
karak wraith (schema),karak_wraith_blueprint
nyx prime - sistemi (schema),nyx_prime_systems_blueprint
swing line,swing_line
dual kamas prime set,dual_kamas_prime_set
measured burst,measured_burst
safeguard switch,safeguard_switch
prisma shade,prisma_shade
scenario lobby città di gas,gas_city_lobby_scene
overextended,overextended
protect,protect
total eclipse,total_eclipse
elmo arcane pulse,arcane_pulse_helmet
vigilante pursuit,vigilante_pursuit
purging slash,purging_slash
elmo arcane gauss mag,arcane_mag_gauss_helmet
ancient fusion core,ancient_fusion_core
furax wraith - guanto destro,furax_wraith_right_gauntlet
auger strike,auger_strike
nyx prime - neurottiche (schema),nyx_prime_neuroptics_blueprint
rhino prime (schema),rhino_prime_blueprint
steady hands,steady_hands
tigris prime - castello,tigris_prime_receiver
energy conversion,energy_conversion
arcane resistance,arcane_resistance
lethal torrent,lethal_torrent
war - lama,war_blade
detect vulnerability,detect_vulnerability
elemental sandstorm,elemental_sandstorm
steel fiber,steel_fiber
magazine extension,magazine_extension
concealed explosives,concealed_explosives
primed ravage,primed_ravage
depleted reload,depleted_reload
helios prime - carapace,helios_prime_carapace
wyrm prime - sistemi,wyrm_prime_systems
trinity prime - neurottiche (schema),trinity_prime_neuroptics_blueprint
mind freak,mind_freak
fang prime - impugnatura,fang_prime_handle
streamline,streamline
insulation,insulation
pressurized magazine,pressurized_magazine
ambush optics,ambush_optics
nyx prime - chassis (schema),nyx_prime_chassis_blueprint
capacitance,capacitance
shell compression,shell_compression
loki prime - chassis (schema),loki_prime_chassis_blueprint
bore,bore
signal flare,signal_flare
lightning dash,lightning_dash
mag prime - chassis (schema),mag_prime_chassis_blueprint
snipetron vandal set,snipetron_vandal_set
battering maneuver,battering_maneuver
piercing step,piercing_step
fireball frenzy,fireball_frenzy
lasting purity,lasting_purity
energy siphon,energy_siphon
stalk,stalk
magazine warp,magazine_warp
infiltrate,infiltrate
coiling viper,coiling_viper
primed pressure point,primed_pressure_point
cold snap,cold_snap
hell's chamber,hells_chamber
stockpiled blight,stockpiled_blight
nami skyla prime - impugnatura,nami_skyla_prime_handle
fracturing wind,fracturing_wind
fulmination,fulmination
ammo drum,ammo_drum
sovereign outcast,sovereign_outcast
gladiator might,gladiator_might
heavy impact,heavy_impact
thunderbolt,thunderbolt
pool of life,pool_of_life
entropy burst,entropy_burst
fatal attraction,fatal_attraction
seismic palm,seismic_palm
pressure point,pressure_point
modified munitions,modified_munitions
natural talent,natural_talent
flechette,flechette
shimmering blight,shimmering_blight
justice blades,justice_blades
buzz kill,buzz_kill
pyrana prime (schema),pyrana_prime_blueprint
pyrana prime - castello,pyrana_prime_receiver
pyrana prime - canna,pyrana_prime_barrel
destreza prime set,destreza_prime_set
primed expel grineer,primed_expel_grineer
primed expel corpus,primed_expel_corpus
primed expel infested,primed_expel_infested
primed expel orokin,primed_expel_corrupted
quaking hand,quaking_hand
flame gland,flame_gland
dividing blades,dividing_blades
phasmin levigato,smooth_phasmin
arcane pulse,arcane_pulse
sudden justice,sudden_justice
blood rush,blood_rush
shrapnel shot,shrapnel_shot
coolant leak,coolant_leak
ward recovery,ward_recovery
primed heated charge,primed_heated_charge
neutron star,neutron_star
skull shots,skull_shots
loki prime - neurottiche (schema),loki_prime_neuroptics_blueprint
vigilante fervor,vigilante_fervor
ankyros prime - lama,ankyros_prime_blade
ankyros prime - guanto,ankyros_prime_gauntlet
bo prime (schema),bo_prime_blueprint
silva & aegis prime - scudo,silva_and_aegis_prime_guard
vicious frost,vicious_frost
jagged edge,jagged_edge
shield disruption,shield_disruption
magus vigor,magus_vigor
shotgun barrage,shotgun_barrage
elmo arcane swindle,arcane_swindle_helmet
gladiator vice,gladiator_vice
elmo arcane meridian,arcane_meridian_helmet
legendary fusion core,legendary_fusion_core
tigris prime - calcio,tigris_prime_stock
spinning needle,spinning_needle
snipetron vandal - calcio,snipetron_vandal_stock
wildfire,wildfire
bane of grineer,bane_of_grineer
