ko,slug
세큐라 듀얼 세스트라,secura_dual_cestra
크리핑 불스아이,creeping_bullseye
뮤탈리스트 알라드 v 암살 (키),mutalist_alad_v_assassinate_key
이레디에이팅 디스암,irradiating_disarm
안티매터 업소브,antimatter_absorb
아케인 배리어,arcane_barrier
아케인 아이스,arcane_ice
텔로스 볼터,telos_boltor
프로스트 프라임 세트,frost_prime_set
카탈라이저 링크,catalyzer_link
타게팅 서브시스템,targeting_subsystem
스트런 레이스 리시버,strun_wraith_receiver
텍토닉 프랙쳐,tectonic_fracture
맨티스 세트,mantis_set
애시드 쉘즈,acid_shells
나이트워치 네이팜,nightwatch_napalm
퀘이사 드릴,quasar_drill
코멧 블래스트,comet_blast
네뷸라 보어,nebula_bore
카스자스 블레이드,kaszas_blade
벨로시투스 리시버,velocitus_receiver
플럭투스 배럴,fluctus_barrel
플럭투스 림스,fluctus_limbs
플럭투스 스톡,fluctus_stock
데큐리온 배럴,decurion_barrel
하이드로이드 프라임 세트,hydroid_prime_set
클렌즈 오로킨,cleanse_corrupted
카파 비컨,kappa_beacon
스타 크림지안,star_crimzian
버츄오스 스트라이크,virtuos_strike
헌터 아드레날린,hunter_adrenaline
바이퍼 레이스,viper_wraith
오로킨 폐함선 대광장 배경,orokin_derelict_plaza_scene
그리니어 조선소 제조공장 배경,grineer_shipyards_manufactory_scene
인페스티드 함선 브리지 배경,infested_ship_bridge_scene
루아 샘 배경,lua_nursery_scene
코퍼스 가스 도시 도관 배경,corpus_gas_city_conduit_scene
그리니어 주둔지 리액터 배경,grineer_settlement_reactor_scene
코퍼스 얼음 행성 잔해 배경,corpus_ice_planet_wreckage_scene
아이돌론 마두라이 렌즈,eidolon_madurai_lens
아이돌론 바자린 렌즈,eidolon_vazarin_lens
아이돌론 유나이루 렌즈,eidolon_unairu_lens
제피르 프라임 섀시 설계도,zephyr_prime_chassis_blueprint
마이코나 콜로니 배경,mycona_colony_scene
팍스 소어,pax_soar
리디머 프라임 블레이드,redeemer_prime_blade
아크자가라 프라임 리시버,akjagara_prime_receiver
키트건 리벤 모드 (미해금),kitgun_riven_mod_(veiled)
스펙트로사이펀,spectrosiphon
울프 슬레지 헤드,wolf_sledge_head
울프 슬레지 세트,wolf_sledge_set
오브 협곡 배경,orb_vallis_scene
제갈 프라임 그립,zhuge_prime_grip
프리즈 포스,freeze_force
스월링 타이거,swirling_tiger
퀵 싱킹,quick_thinking
웜 프라임 설계도,wyrm_prime_blueprint
스프링-로디드 블레이드,spring_loaded_blade
키네틱 다이버전,kinetic_diversion
파워 쓰로우,power_throw
페이트풀 트루스,fateful_truth
멀리그난트 포스,malignant_force
슈페리어 디펜스,superior_defenses
에너지 인버젼,energy_inversion
섀터링 저스티스,shattering_justice
패스트 핸즈,fast_hands
폴라 매거진,polar_magazine
라이플 앰프,rifle_amp
스페어 파츠,spare_parts
노 리턴,no_return
베이포라이즈,vaporize
비셔스 스프레드,vicious_spread
에너미 센스,enemy_sense
블라인드 레이지,blind_rage
라이플 애모 뮤테이션,rifle_ammo_mutation
임페라토르 반달 배럴,imperator_vandal_barrel
오르도스 프라임 블레이드,orthos_prime_blade
로키 프라임 시스템 설계도,loki_prime_systems_blueprint
나라몬 렌즈,naramon_lens
코액션 드리프트,coaction_drift
샷건 새비,shotgun_savvy
볼캐닉 엣지,volcanic_edge
오도나타 프라임 하네스 설계도,odonata_prime_harness_blueprint
세컨더리 윈드,secondary_wind
오도나타 프라임 시스템 설계도,odonata_prime_systems_blueprint
포인트 스트라이크,point_strike
소어링 스트라이크,soaring_strike
퍼멜,pummel
벨로시투스 스톡,velocitus_stock
래스본 핸들,rathbone_handle
래스본 헤드,rathbone_head
래트론 레이스 배럴,latron_wraith_barrel
히티드 차지,heated_charge
시스템 리루트,system_reroute
고르곤 레이스 리시버,gorgon_wraith_receiver
칼큘레이티드 샷,calculated_shot
비거,vigor
히코우 프라임 파우치,hikou_prime_pouch
리퍼 프라임 설계도,reaper_prime_blueprint
아케인 쓰락 헬멧,arcane_thrak_helmet
프라임드 포인트 블랭크,primed_point_blank
파워 오브 쓰리,power_of_three
라이노 프라임 뉴로옵틱스 설계도,rhino_prime_neuroptics_blueprint
디스아밍 퓨리티,disarming_purity
고르곤 레이스 스톡,gorgon_wraith_stock
발리스티카 프라임 스트링,ballistica_prime_string
크로싱 스네이크,crossing_snakes
리쥬버네이션,rejuvenation
디그,dig
슈레더,shredder
컨티뉴어스 미져리,continuous_misery
바스토 프라임 세트,vasto_prime_set
아케인 아발론 헬멧,arcane_avalon_helmet
써마이트 라운즈,thermite_rounds
아케인 플럭스 헬멧,arcane_flux_helmet
텔로스 아크볼토,telos_akbolto
아케인 오라 헬멧,arcane_aura_helmet
생티 캐스타나스,sancti_castanas
리프트 스트라이크,rift_strike
불칸 블릿츠,vulcan_blitz
아케인 갬빗 헬멧,arcane_gambit_helmet
아케인 클로라 헬멧,arcane_chlora_helmet
아케인 에스피릿 헬멧,arcane_esprit_helmet
아케인 트리커리,arcane_trickery
오베론 프라임 뉴로옵틱스 설계도,oberon_prime_neuroptics_blueprint
볼트 프라임 뉴로옵틱스 설계도,volt_prime_neuroptics_blueprint
아케인 피닉스 헬멧,arcane_phoenix_helmet
발리스티카 프라임 로워 림,ballistica_prime_lower_limb
볼트 프라임 섀시 설계도,volt_prime_chassis_blueprint
마르퀴즈 비리도스,marquise_veridos
아케인 리법 헬멧,arcane_reverb_helmet
