pl,slug
cestra podwójna secura,secura_dual_cestra
pełzające trafienie,creeping_bullseye
zabójstwo: zainfekowany alad v (klucz),mutalist_alad_v_assassinate_key
promieniotwórcze rozbrojenie,irradiating_disarm
absorpcja antymaterii,antimatter_absorb
arkanum bariery,arcane_barrier
arkanum lodu,arcane_ice
boltor telos,telos_boltor
frost prime: zestaw,frost_prime_set
łącze katalizatora,catalyzer_link
podsystem celowniczy,targeting_subsystem
strun wraith: korpus,strun_wraith_receiver
tektoniczne pęknięcie,tectonic_fracture
mantis: zestaw,mantis_set
pociski kwasowe,acid_shells
napalm nocnej gwardii,nightwatch_napalm
wiertło kwazara,quasar_drill
wybuch komety,comet_blast
prześwit nebuli,nebula_bore
kaszas: ostrze,kaszas_blade
velocitus: korpus,velocitus_receiver
fluctus: lufa,fluctus_barrel
fluctus: ramiona,fluctus_limbs
fluctus: kolba,fluctus_stock
decurion: lufa,decurion_barrel
hydroid prime: zestaw,hydroid_prime_set
czystka orokin,cleanse_corrupted
radiolokalizator kappa,kappa_beacon
gwiaździsty crimzian,star_crimzian
wirtuoz uderzenia,virtuos_strike
myśliwska adrenalina,hunter_adrenaline
viper wraith,viper_wraith
scena: plaza wraku orokin,orokin_derelict_plaza_scene
scena: fabryka stoczni grineer,grineer_shipyards_manufactory_scene
scena: mostek statku plagi,infested_ship_bridge_scene
scena: przedszkole lua,lua_nursery_scene
scena: przekaźnik corpus gazozo,corpus_gas_city_conduit_scene
scena: reaktor osady grineer,grineer_settlement_reactor_scene
scena: wrak statku lodowej planety corpus,corpus_ice_planet_wreckage_scene
soczewka madurai eidolon,eidolon_madurai_lens
soczewka vazarin eidolon,eidolon_vazarin_lens
soczewka unairu eidolon,eidolon_unairu_lens
zephyr prime: powłoka - schemat,zephyr_prime_chassis_blueprint
scena: kolonia myconów,mycona_colony_scene
paks szybowania,pax_soar
redeemer prime: ostrze,redeemer_prime_blade
akjagara prime: korpus,akjagara_prime_receiver
mod riven kitgun (ukryty),kitgun_riven_mod_(veiled)
spektrosyfon,spectrosiphon
wilczy kafar: obuch,wolf_sledge_head
wilczy kafar: zestaw,wolf_sledge_set
scena: orb vallis,orb_vallis_scene
zhuge prime: majdan,zhuge_prime_grip
zamrażająca siła,freeze_force
wirujący tygrys,swirling_tiger
trzeźwe myślenie,quick_thinking
wyrm prime - schemat,wyrm_prime_blueprint
sprężynowe ostrze,spring_loaded_blade
kinetyczna dywersja,kinetic_diversion
wzmocniony rzut,power_throw
nieuchronna prawda,fateful_truth
zjadliwa siła,malignant_force
obrona doskonała,superior_defenses
inwersja energetyczna,energy_inversion
miażdżąca sprawiedliwość,shattering_justice
szybkie ręce,fast_hands
polarny magazynek,polar_magazine
wzmacniacz karabinu,rifle_amp
części zapasowe,spare_parts
bez powrotu,no_return
zwęglenie,vaporize
okrutny rozrzut,vicious_spread
wyczucie wroga,enemy_sense
ślepa furia,blind_rage
mutator karabinowy,rifle_ammo_mutation
imperator vandal: lufa,imperator_vandal_barrel
orthos prime: ostrze,orthos_prime_blade
loki prime: systemy - schemat,loki_prime_systems_blueprint
soczewka naramon,naramon_lens
dryf współdziałania,coaction_drift
zrozumienie strzelb,shotgun_savvy
wulkaniczna krawędź,volcanic_edge
odonata prime: uprząż - schemat,odonata_prime_harness_blueprint
natchnienie,secondary_wind
odonata prime: systemy - schemat,odonata_prime_systems_blueprint
uderzenie punktowe,point_strike
szybujące natarcie,soaring_strike
tępe uderzenie,pummel
velocitus: kolba,velocitus_stock
rathbone: rękojeść,rathbone_handle
rathbone: głowica,rathbone_head
latron wraith: lufa,latron_wraith_barrel
ładunek zapalający,heated_charge
przekierowanie systemu,system_reroute
gorgon wraith: korpus,gorgon_wraith_receiver
wyrachowany pocisk,calculated_shot
wigor,vigor
hikou prime: kabura,hikou_prime_pouch
reaper prime - schemat,reaper_prime_blueprint
rhino: hełm arkanum thrak,arcane_thrak_helmet
z przyłożenia prime,primed_point_blank
trójsiła,power_of_three
rhino prime: neuroptyka - schemat,rhino_prime_neuroptics_blueprint
rozbrajająca czystość,disarming_purity
gorgon wraith: kolba,gorgon_wraith_stock
ballistica prime: cięciwa,ballistica_prime_string
skrzyżowane węże,crossing_snakes
odnowa,rejuvenation
kopanie,dig
rozdzieracz,shredder
ciągła męka,continuous_misery
vasto prime: zestaw,vasto_prime_set
excalibur: hełm arkanum avalon,arcane_avalon_helmet
pociski termitowe,thermite_rounds
nova: hełm arkanum flux,arcane_flux_helmet
akbolto telos,telos_akbolto
trinity: hełm arkanum aura,arcane_aura_helmet
castanas sancti,sancti_castanas
szczelinowe uderzenie,rift_strike
wulkaniczne bombardowanie,vulcan_blitz
vauban: hełm arkanum gambit,arcane_gambit_helmet
saryn: hełm arkanum chlora,arcane_chlora_helmet
vauban: hełm arkanum esprit,arcane_esprit_helmet
arkanum oszustwa,arcane_trickery
oberon prime: neuroptyka - schemat,oberon_prime_neuroptics_blueprint
volt prime: neuroptyka - schemat,volt_prime_neuroptics_blueprint
ember: hełm arkanum phoenix,arcane_phoenix_helmet
ballistica prime: dolne ramię,ballistica_prime_lower_limb
volt prime: powłoka - schemat,volt_prime_chassis_blueprint
wyrafinowany veridos,marquise_veridos
banshee: hełm arkanum reverb,arcane_reverb_helmet
wybuchowa sztuczka,explosive_legerdemain
rozpruwacz orokin,smite_corrupted
saryn: hełm arkanum hemlock,arcane_hemlock_helmet
wampiryczna pijawka,vampire_leech
zhuge prime - schemat,zhuge_prime_blueprint
ninkondi prime: łańcuch,ninkondi_prime_chain
zhuge prime: korpus,zhuge_prime_receiver
zhuge prime: zestaw,zhuge_prime_set
wukong prime: neuroptyka - schemat,wukong_prime_neuroptics_blueprint
niszczące przedłużenie,ruinous_extension
dzikość,savagery
gambit pistoletowy,pistol_gambit
błyszcząca zaraza,gleaming_blight
ember prime: neuroptyka - schemat,ember_prime_neuroptics_blueprint
wieczna udręka,lingering_torment
uderzenie młota,hammer_shot
mutator strzelbowy prime,primed_shotgun_ammo_mutation
arkanum szybkości,arcane_velocity
nyx prime - schemat,nyx_prime_blueprint
dera vandal: kolba,dera_vandal_stock
karak wraith - schemat,karak_wraith_blueprint
nyx prime: systemy - schemat,nyx_prime_systems_blueprint
lina wspinaczkowa,swing_line
kama podwójna prime: zestaw,dual_kamas_prime_set
kontrolowana seria,measured_burst
zabezpieczenie teleportu,safeguard_switch
shade prisma,prisma_shade
scena: hol gazozo,gas_city_lobby_scene
przeforsowanie,overextended
ochrona,protect
półmrok,total_eclipse
volt: hełm arkanum pulse,arcane_pulse_helmet
strażniczy pościg,vigilante_pursuit
oczyszczający pęd,purging_slash
mag: hełm arkanum gauss,arcane_mag_gauss_helmet
ancient fusion core,ancient_fusion_core
furax wraith: prawa rękawica,furax_wraith_right_gauntlet
uderzenie wiertłem,auger_strike
nyx prime: neuroptyka - schemat,nyx_prime_neuroptics_blueprint
rhino prime - schemat,rhino_prime_blueprint
pewne ręce,steady_hands
tigris prime: korpus,tigris_prime_receiver
konwersja energii,energy_conversion
arkanum oporu,arcane_resistance
zabójcza struga,lethal_torrent
war: ostrze,war_blade
wykrywanie słabego punktu,detect_vulnerability
burza żywiołów,elemental_sandstorm
stalowe włókna,steel_fiber
powiększenie magazynka,magazine_extension
ukryte ładunki wybuchowe,concealed_explosives
pustoszyciel prime,primed_ravage
pusty magazynek,depleted_reload
helios prime: karapaks,helios_prime_carapace
wyrm prime: systemy,wyrm_prime_systems
trinity prime: neuroptyka - schemat,trinity_prime_neuroptics_blueprint
psychoza,mind_freak
fang prime: rękojeść,fang_prime_handle
zmniejszony opór,streamline
izolacja,insulation
uszczelniony magazynek,pressurized_magazine
szkło zasadzki,ambush_optics
nyx prime: powłoka - schemat,nyx_prime_chassis_blueprint
kapacytancja,capacitance
kompresja naboju,shell_compression
loki prime: powłoka - schemat,loki_prime_chassis_blueprint
borowanie,bore
flara sygnałowa,signal_flare
pęd błyskawicy,lightning_dash
mag prime: powłoka - schemat,mag_prime_chassis_blueprint
snipetron vandal: zestaw,snipetron_vandal_set
miażdżące manewry,battering_maneuver
przebijający krok,piercing_step
płomienny szał,fireball_frenzy
trwająca czystość,lasting_purity
syfon energii,energy_siphon
podchody,stalk
magazynek łukowy,magazine_warp
infiltracja,infiltrate
wijąca się żmija,coiling_viper
punkt nacisku prime,primed_pressure_point
mróz,cold_snap
piekielna komora,hells_chamber
zmasowana zaraza,stockpiled_blight
nami skyla prime: rękojeść,nami_skyla_prime_handle
rozbijający wiatr,fracturing_wind
fulminacja,fulmination
magazynek bębnowy,ammo_drum
suwerenny wygnaniec,sovereign_outcast
gladiatorska potęga,gladiator_might
ciężki upadek,heavy_impact
grom,thunderbolt
woda życia,pool_of_life
rozbłysk entropii,entropy_burst
zabójcza przynęta,fatal_attraction
sejsmiczna dłoń,seismic_palm
punkt nacisku,pressure_point
zmodyfikowana amunicja,modified_munitions
wrodzony talent,natural_talent
strzałki,flechette
lśniąca zaraza,shimmering_blight
ostrza sprawiedliwości,justice_blades
zabójczy rój,buzz_kill
pyrana prime - schemat,pyrana_prime_blueprint
pyrana prime: korpus,pyrana_prime_receiver
pyrana prime: lufa,pyrana_prime_barrel
destreza prime: zestaw,destreza_prime_set
zagłada grineer prime,primed_expel_grineer
zagłada corpus prime,primed_expel_corpus
zagłada plagi prime,primed_expel_infested
zagłada orokin prime,primed_expel_corrupted
drżące ręce,quaking_hand
płomienny gruczoł,flame_gland
dzielące ostrza,dividing_blades
gładki phasmin,smooth_phasmin
arkanum impulsu,arcane_pulse
nieoczekiwana sprawiedliwość,sudden_justice
napływ krwi,blood_rush
szrapnel,shrapnel_shot
wyciek chłodziwa,coolant_leak
regeneracyjna ochrona,ward_recovery
ładunek zapalający prime,primed_heated_charge
gwiazda neutronowa,neutron_star
strzał w dziesiątkę,skull_shots
loki prime: neuroptyka - schemat,loki_prime_neuroptics_blueprint
