pt,slug
cestras duplas secura,secura_dual_cestra
creeping bullseye,creeping_bullseye
assassinato do alad v mutalista (chave),mutalist_alad_v_assassinate_key
desarme irradiante,irradiating_disarm
absorção de antimatéria,antimatter_absorb
barreira arcana,arcane_barrier
geada arcana,arcane_ice
boltor telos,telos_boltor
frost prime: conjunto,frost_prime_set
catalyzer link,catalyzer_link
targeting subsystem,targeting_subsystem
strun quimérica: receptor,strun_wraith_receiver
fraturas tectônicas,tectonic_fracture
mantis: conjunto,mantis_set
acid shells,acid_shells
nightwatch napalm,nightwatch_napalm
quasar drill,quasar_drill
comet blast,comet_blast
nebula bore,nebula_bore
kaszas: lâmina,kaszas_blade
velocitus: receptor,velocitus_receiver
fluctus: cano,fluctus_barrel
fluctus: membros,fluctus_limbs
fluctus: coronha,fluctus_stock
decurion: cano,decurion_barrel
hydroid prime: conjunto,hydroid_prime_set
cleanse orokin,cleanse_corrupted
transmissor kappa,kappa_beacon
crimiziana estrelada,star_crimzian
ataque virtuoso,virtuos_strike
hunter adrenaline,hunter_adrenaline
viper quimérica,viper_wraith
cena: plaza da nave abandonada orokin,orokin_derelict_plaza_scene
cena: fábrica do estaleiro grineer,grineer_shipyards_manufactory_scene
cena: ponte de comando da nave infestada,infested_ship_bridge_scene
cena: berçário lunar,lua_nursery_scene
cena: conduíte da cidade de gás corpus,corpus_gas_city_conduit_scene
cena: reator do acampamento grineer,grineer_settlement_reactor_scene
cena: destroços no planeta de gelo corpus,corpus_ice_planet_wreckage_scene
lente madurai (eidolon),eidolon_madurai_lens
lente vazarin (eidolon),eidolon_vazarin_lens
lente unairu (eidolon),eidolon_unairu_lens
zephyr prime: chassi (diagrama),zephyr_prime_chassis_blueprint
cena: colônia de mycona,mycona_colony_scene
planeio de pax,pax_soar
redeemer prime: lâmina,redeemer_prime_blade
akjagara prime: receptor,akjagara_prime_receiver
mod riven: kitgun (oculto),kitgun_riven_mod_(veiled)
sifão espectral,spectrosiphon
marreta do lobo: extremidade,wolf_sledge_head
marreta do lobo: conjunto,wolf_sledge_set
cena: vallis das orbes,orb_vallis_scene
zhuge prime: empunhadura,zhuge_prime_grip
força congelante,freeze_force
swirling tiger,swirling_tiger
quick thinking,quick_thinking
wyrm prime (diagrama),wyrm_prime_blueprint
spring-loaded blade,spring_loaded_blade
kinetic diversion,kinetic_diversion
power throw,power_throw
fateful truth,fateful_truth
malignant force,malignant_force
superior defenses,superior_defenses
energy inversion,energy_inversion
shattering justice,shattering_justice
fast hands,fast_hands
polar magazine,polar_magazine
rifle amp,rifle_amp
spare parts,spare_parts
no return,no_return
vaporize,vaporize
vicious spread,vicious_spread
enemy sense,enemy_sense
blind rage,blind_rage
rifle ammo mutation,rifle_ammo_mutation
imperator vandalizada: cano,imperator_vandal_barrel
orthos prime: lâmina,orthos_prime_blade
loki prime: sistemas (diagrama),loki_prime_systems_blueprint
lente naramon (comum),naramon_lens
coaction drift,coaction_drift
shotgun savvy,shotgun_savvy
volcanic edge,volcanic_edge
odonata prime: arreios (diagrama),odonata_prime_harness_blueprint
secondary wind,secondary_wind
odonata prime: sistemas (diagrama),odonata_prime_systems_blueprint
point strike,point_strike
soaring strike,soaring_strike
pummel,pummel
velocitus: coronha,velocitus_stock
rathbone: cabo,rathbone_handle
rathbone: extremidade,rathbone_head
latron quimérica: cano,latron_wraith_barrel
heated charge,heated_charge
system reroute,system_reroute
gorgon quimérica: receptor,gorgon_wraith_receiver
calculated shot,calculated_shot
vigor,vigor
hikou prime: cartucheira,hikou_prime_pouch
ceifadora prime (diagrama),reaper_prime_blueprint
rhino: capacete thrak (arcano),arcane_thrak_helmet
primed point blank,primed_point_blank
poder triplo,power_of_three
rhino prime: neurovisor (diagrama),rhino_prime_neuroptics_blueprint
disarming purity,disarming_purity
gorgon quimérica: coronha,gorgon_wraith_stock
ballistica prime: cordão,ballistica_prime_string
crossing snakes,crossing_snakes
rejuvenation,rejuvenation
dig,dig
shredder,shredder
continuous misery,continuous_misery
vasto prime: conjunto,vasto_prime_set
excalibur: capacete avalon (arcano),arcane_avalon_helmet
thermite rounds,thermite_rounds
nova: capacete flux (arcano),arcane_flux_helmet
akbolto telos,telos_akbolto
trinity: capacete aura (arcano),arcane_aura_helmet
castanas sancti,sancti_castanas
rift strike,rift_strike
vulcan blitz,vulcan_blitz
vauban: capacete gambit (arcano),arcane_gambit_helmet
saryn: capacete chlora (arcano),arcane_chlora_helmet
vauban: capacete esprit (arcano),arcane_esprit_helmet
trapaça arcana,arcane_trickery
oberon prime: neurovisor (diagrama),oberon_prime_neuroptics_blueprint
volt prime: neurovisor (diagrama),volt_prime_neuroptics_blueprint
ember: capacete phoenix (arcano),arcane_phoenix_helmet
ballistica prime: membro inferior,ballistica_prime_lower_limb
volt prime: chassi (diagrama),volt_prime_chassis_blueprint
veridos marquesada,marquise_veridos
banshee: capacete reverb (arcano),arcane_reverb_helmet
ilusionismo volátil,explosive_legerdemain
smite orokin,smite_corrupted
saryn: capacete hemlock (arcano),arcane_hemlock_helmet
vampirismo parasitário,vampire_leech
zhuge prime (diagrama),zhuge_prime_blueprint
ninkondi prime: corrente,ninkondi_prime_chain
zhuge prime: receptor,zhuge_prime_receiver
zhuge prime: conjunto,zhuge_prime_set
wukong prime: neurovisor (diagrama),wukong_prime_neuroptics_blueprint
ruinous extension,ruinous_extension
savagery,savagery
pistol gambit,pistol_gambit
gleaming blight,gleaming_blight
ember prime: neurovisor (diagrama),ember_prime_neuroptics_blueprint
lingering torment,lingering_torment
hammer shot,hammer_shot
primed shotgun ammo mutation,primed_shotgun_ammo_mutation
velocidade arcana,arcane_velocity
nyx prime (diagrama),nyx_prime_blueprint
dera vandalizada: coronha,dera_vandal_stock
karak quimérica (diagrama),karak_wraith_blueprint
nyx prime: sistemas (diagrama),nyx_prime_systems_blueprint
cabo pivotante,swing_line
kamas duplas prime: conjunto,dual_kamas_prime_set
measured burst,measured_burst
teleporte protetor,safeguard_switch
shade prisma,prisma_shade
cena: salão da cidade de gás,gas_city_lobby_scene
overextended,overextended
protect,protect
eclipse total,total_eclipse
volt: capacete pulse (arcano),arcane_pulse_helmet
vigilante pursuit,vigilante_pursuit
investida purificante,purging_slash
mag: capacete gauss (arcano),arcane_mag_gauss_helmet
ancient fusion core,ancient_fusion_core
furax quimérica: manopla (direita),furax_wraith_right_gauntlet
auger strike,auger_strike
nyx prime: neurovisor (diagrama),nyx_prime_neuroptics_blueprint
rhino prime (diagrama),rhino_prime_blueprint
steady hands,steady_hands
tigris prime: receptor,tigris_prime_receiver
energy conversion,energy_conversion
resistência arcana,arcane_resistance
lethal torrent,lethal_torrent
war: lâmina,war_blade
detect vulnerability,detect_vulnerability
tempestade elemental,elemental_sandstorm
steel fiber,steel_fiber
magazine extension,magazine_extension
concealed explosives,concealed_explosives
primed ravage,primed_ravage
depleted reload,depleted_reload
helios prime: carapaça,helios_prime_carapace
wyrm prime: sistemas,wyrm_prime_systems
trinity prime: neurovisor (diagrama),trinity_prime_neuroptics_blueprint
confusão mental,mind_freak
fang prime: cabo,fang_prime_handle
streamline,streamline
insulation,insulation
pressurized magazine,pressurized_magazine
ambush optics,ambush_optics
nyx prime: chassi (diagrama),nyx_prime_chassis_blueprint
capacitância,capacitance
shell compression,shell_compression
loki prime: chassi (diagrama),loki_prime_chassis_blueprint
bore,bore
sinalizador,signal_flare
lightning dash,lightning_dash
mag prime: chassi (diagrama),mag_prime_chassis_blueprint
snipetron vandalizada: conjunto,snipetron_vandal_set
battering maneuver,battering_maneuver
piercing step,piercing_step
frenesi de fogo,fireball_frenzy
lasting purity,lasting_purity
energy siphon,energy_siphon
stalk,stalk
magazine warp,magazine_warp
infiltração,infiltrate
coiling viper,coiling_viper
primed pressure point,primed_pressure_point
compressão glacial,cold_snap
hell's chamber,hells_chamber
stockpiled blight,stockpiled_blight
nami skyla prime: cabo,nami_skyla_prime_handle
fracturing wind,fracturing_wind
fulmination,fulmination
ammo drum,ammo_drum
sovereign outcast,sovereign_outcast
gladiator might,gladiator_might
heavy impact,heavy_impact
thunderbolt,thunderbolt
poço universal,pool_of_life
entropy burst,entropy_burst
fatal attraction,fatal_attraction
seismic palm,seismic_palm
pressure point,pressure_point
modified munitions,modified_munitions
natural talent,natural_talent
flechette,flechette
shimmering blight,shimmering_blight
justice blades,justice_blades
buzz kill,buzz_kill
pyrana prime (diagrama),pyrana_prime_blueprint
pyrana prime: receptor,pyrana_prime_receiver
pyrana prime: cano,pyrana_prime_barrel
destreza prime: conjunto,destreza_prime_set
primed expel grineer,primed_expel_grineer
primed expel corpus,primed_expel_corpus
primed expel infested,primed_expel_infested
primed expel orokin,primed_expel_corrupted
quaking hand,quaking_hand
flame gland,flame_gland
dividing blades,dividing_blades
phasmin (suave),smooth_phasmin
pulso arcano,arcane_pulse
sudden justice,sudden_justice
blood rush,blood_rush
shrapnel shot,shrapnel_shot
coolant leak,coolant_leak
auréola regenerativa,ward_recovery
primed heated charge,primed_heated_charge
estrela de nêutrons,neutron_star
skull shots,skull_shots
loki prime: neurovisor (diagrama),loki_prime_neuroptics_blueprint
vigilante fervor,vigilante_fervor
ankyros prime: lâmina,ankyros_prime_blade
ankyros prime: manopla,ankyros_prime_gauntlet
bo prime (diagrama),bo_prime_blueprint
silva & aegis prime: guarda,silva_and_aegis_prime_guard
vicious frost,vicious_frost
jagged edge,jagged_edge
shield disruption,shield_disruption
revigoração do mago,magus_vigor
shotgun barrage,shotgun_barrage
loki: capacete swindle (arcano),arcane_swindle_helmet
gladiator vice,gladiator_vice
trinity: capacete meridian (arcano),arcane_meridian_helmet
legendary fusion core,legendary_fusion_core
tigris prime: coronha,tigris_prime_stock
spinning needle,spinning_needle
snipetron vandalizada: coronha,snipetron_vandal_stock
wildfire,wildfire
bane of grineer,bane_of_grineer
scimitar: aviônicos (diagrama),scimitar_avionics_blueprint
reflex guard,reflex_guard
sentinela eterna,everlasting_ward
ash prime: neurovisor (diagrama),ash_prime_neuroptics_blueprint
jolt,jolt
vectis prime: coronha,vectis_prime_stock
stunning speed,stunning_speed
primed continuity,primed_continuity
bo prime: cabo,bo_prime_handle
crash course,crash_course
vital systems bypass,vital_systems_bypass
singularidade,singularity
armored acrobatics,armored_acrobatics
lethal momentum,lethal_momentum
primed bane of infested,primed_bane_of_infested
primed bane of corpus,primed_bane_of_corpus
carrier prime (diagrama),carrier_prime_blueprint
vulpine mask,vulpine_mask
primed bane of grineer,primed_bane_of_grineer
vectis prime: cano,vectis_prime_barrel
tactical pump,tactical_pump
nyx: capacete menticide (arcano),arcane_menticide_helmet
frost: capacete aurora (arcano),arcane_aurora_helmet
soma prime (diagrama),soma_prime_blueprint
unleashed,unleashed
vasto prime: cano,vasto_prime_barrel
banshee: capacete chorus (arcano),arcane_chorus_helmet
vasto prime (diagrama),vasto_prime_blueprint
entropy flight,entropy_flight
saryn prime: conjunto,saryn_prime_set
poppin' vert,poppin_vert
reparo do mago,magus_repair
erro do mago,magus_glitch
perfect balance,perfect_balance
strain consume,strain_consume
mod riven: zaw (oculto),zaw_riven_mod_(veiled)
marreta do lobo (diagrama),wolf_sledge_blueprint
sobrecarga do mago,magus_overload
fissão molecular,molecular_fission
marreta do lobo: motor,wolf_sledge_motor
wild frenzy,wild_frenzy
napalm grenades,napalm_grenades
tipedo prime: cabo,tipedo_prime_handle
stradavar prime: conjunto,stradavar_prime_set
equinox prime (diagrama),equinox_prime_blueprint
bronco prime: cano,bronco_prime_barrel
war: punho,war_hilt
nova prime: sistemas (diagrama),nova_prime_systems_blueprint
frost prime (diagrama),frost_prime_blueprint
bronco prime (diagrama),bronco_prime_blueprint
astral twilight,astral_twilight
snap shot,snap_shot
burston prime: receptor,burston_prime_receiver
fang prime: lâmina,fang_prime_blade
vauban prime: neurovisor (diagrama),vauban_prime_neuroptics_blueprint
hikou prime: estrelas,hikou_prime_stars
intruder,intruder
angstrum prisma,prisma_angstrum
phaedra: coronha,phaedra_stock
scorch,scorch
entropy spike,entropy_spike
eleventh storm,eleventh_storm
nova prime: neurovisor (diagrama),nova_prime_neuroptics_blueprint
mina de antimatéria,antimatter_mine
nova prime: chassi (diagrama),nova_prime_chassis_blueprint
guarda prismática,prism_guard
trick mag,trick_mag
nova prime (diagrama),nova_prime_blueprint
vínculo enganoso,deceptive_bond
frost prime: neurovisor (diagrama),frost_prime_neuroptics_blueprint
frost: capacete squall (arcano),arcane_squall_helmet
calculated redirection,calculated_redirection
charged shell,charged_shell
cleanse corpus,cleanse_corpus
searing steel,searing_steel
accelerated deflection,accelerated_deflection
clashing forest,clashing_forest
cólera primordial,primal_rage
pisão celestial,celestial_stomp
penta secura,secura_penta
razor shot,razor_shot
assombração insidiosa,creeping_terrify
trinity prime (diagrama),trinity_prime_blueprint
grim fury,grim_fury
escultura ayatan orta,ayatan_orta_sculpture
energy channel,energy_channel
julgamento sagrado,hallowed_reckoning
convulsion,convulsion
fúria arcana,arcane_fury
rapid resilience,rapid_resilience
pistol pestilence,pistol_pestilence
primed morphic transformer,primed_morphic_transformer
frail momentum,frail_momentum
pathogen rounds,pathogen_rounds
égide arcana,arcane_aegis
sudden impact,sudden_impact
consequência arcana,arcane_consequence
tempered blade,tempered_blade
smite corpus,smite_corpus
energização arcana,arcane_energize
fanged fusillade,fanged_fusillade
gladiator resolve,gladiator_resolve
ghost,ghost
rime rounds,rime_rounds
vulkar quimérica,vulkar_wraith
escultura ayatan piv,ayatan_piv_sculpture
escaravelhos revitalizantes,negation_swarm
blunderbuss,blunderbuss
sybaris prime: cano,sybaris_prime_barrel
centaur: aegis,centaur_aegis
cephalon suda augment mod,cephalon_suda_augment_mod
banshee prime: chassi (diagrama),banshee_prime_chassis_blueprint
chilling grasp,chilling_grasp
wukong prime: chassi (diagrama),wukong_prime_chassis_blueprint
blazing steel,blazing_steel
fired up,fired_up
shattering storm,shattering_storm
fear sense,sense_danger
bullet dance,bullet_dance
vipers gêmeas quiméricas (diagrama),twin_vipers_wraith_blueprint
split chamber,split_chamber
north wind,north_wind
shotgun scavenger,shotgun_scavenger
