ru,slug
парные цестры секура,secura_dual_cestra
мерзкое прицеливание,creeping_bullseye
заражённый алад v - убийство (ключ),mutalist_alad_v_assassinate_key
обезоруживающее облучение,irradiating_disarm
поглощающее антивещество,antimatter_absorb
мистический барьер,arcane_barrier
мистический лёд,arcane_ice
телос болтор,telos_boltor
фрост прайм: комплект,frost_prime_set
связь с катализатором,catalyzer_link
подсистема прицеливания,targeting_subsystem
стран призрак: приёмник,strun_wraith_receiver
тектонический разлом,tectonic_fracture
мантис: комплект,mantis_set
кислотные cнаряды,acid_shells
напалм ночного дозора,nightwatch_napalm
квазарное сверло,quasar_drill
кометный взрыв,comet_blast
туманный бур,nebula_bore
косаш: лезвие,kaszas_blade
велоцитус: приёмник,velocitus_receiver
флактус: ствол,fluctus_barrel
флактус: плечи,fluctus_limbs
флактус: приклад,fluctus_stock
декурион: ствол,decurion_barrel
гидроид прайм: комплект,hydroid_prime_set
зачистка: орокин,cleanse_corrupted
маяк каппа,kappa_beacon
кримциан-звезда,star_crimzian
виртуозный удар,virtuos_strike
адреналин охотника,hunter_adrenaline
гадюка призрак,viper_wraith
сцена: плаза орокин - руины,orokin_derelict_plaza_scene
сцена: судостроительный завод гринир,grineer_shipyards_manufactory_scene
сцена: заражённый корабль - мостик,infested_ship_bridge_scene
сцена: колыбель луа,lua_nursery_scene
сцена: газовый город корпуса - трубопровод,corpus_gas_city_conduit_scene
сцена: поселение гринир - реактор,grineer_settlement_reactor_scene
сцена: ледяная планета - обломки корпуса,corpus_ice_planet_wreckage_scene
эйдолонская линза: мадурай,eidolon_madurai_lens
эйдолонская линза: вазарин,eidolon_vazarin_lens
эйдолонская линза: унайру,eidolon_unairu_lens
зефир прайм: каркас (чертеж),zephyr_prime_chassis_blueprint
сцена: колония микон,mycona_colony_scene
пакс парение,pax_soar
избавитель прайм: лезвие,redeemer_prime_blade
акджагара прайм: приёмник,akjagara_prime_receiver
мод разлома для китганов (закрытый),kitgun_riven_mod_(veiled)
спектроисточник,spectrosiphon
кувалда волка: боёк,wolf_sledge_head
кувалда волка: комплект,wolf_sledge_set
сцена: долина сфер,orb_vallis_scene
чжугэ прайм: рукоять,zhuge_prime_grip
замораживающая сила,freeze_force
кружащий тигр,swirling_tiger
быстрое мышление,quick_thinking
вирм прайм (чертеж),wyrm_prime_blueprint
пружинное лезвие,spring_loaded_blade
кинетическая диверсия,kinetic_diversion
могучий бросок,power_throw
судьбоносная правда,fateful_truth
пагубная сила,malignant_force
улучшенная защита,superior_defenses
инверсия энергии,energy_inversion
раскалывающая справедливость,shattering_justice
быстрые руки,fast_hands
полярный магазин,polar_magazine
усилитель: винтовка,rifle_amp
запасные части,spare_parts
нет спасения,no_return
испаритель,vaporize
агрессивный разброс,vicious_spread
инстинкт охотника,enemy_sense
слепая ярость,blind_rage
мутатор: винтовка,rifle_ammo_mutation
император вандал: ствол,imperator_vandal_barrel
