uk,slug
парні цестри-секура,secura_dual_cestra
повзка кончина,creeping_bullseye
убивство асимільованого алада в (ключ),mutalist_alad_v_assassinate_key
опромінювальне роззброювання,irradiating_disarm
поглинання антиматерії,antimatter_absorb
містичний бар’єр,arcane_barrier
містична стужа,arcane_ice
болтор-телос,telos_boltor
фрост-прайм (комплект),frost_prime_set
каталітичний зв’язок,catalyzer_link
навідна підсистема,targeting_subsystem
стран-примара: ствольна коробка,strun_wraith_receiver
тектонічний розлом,tectonic_fracture
богомол (комплект),mantis_set
кислотні набої,acid_shells
напалм «нічної варти»,nightwatch_napalm
квазаровий бур,quasar_drill
кометний вибух,comet_blast
туманний отвір,nebula_bore
косаш: клинок,kaszas_blade
велоцит: ствольна коробка,velocitus_receiver
флукт: ствол,fluctus_barrel
флукт: плечі,fluctus_limbs
флукт: ложе,fluctus_stock
декуріон: ствол,decurion_barrel
гідроїд-прайм (комплект),hydroid_prime_set
зачистка орокінів,cleanse_corrupted
радіомаяк «каппа»,kappa_beacon
зірка багряника,star_crimzian
віртус «удар»,virtuos_strike
адреналін мисливця,hunter_adrenaline
гадюка-примара,viper_wraith
панорама: орокінський блукач — плаза,orokin_derelict_plaza_scene
панорама: ґрінерські зорелітні — виробничий цех,grineer_shipyards_manufactory_scene
панорама: заражений зореліт — місток,infested_ship_bridge_scene
панорама: луа — ясла,lua_nursery_scene
панорама: газове місто — канал,corpus_gas_city_conduit_scene
панорама: ґрінерське поселення — реактор,grineer_settlement_reactor_scene
панорама: крижана планета — уламки зорельота корпусу,corpus_ice_planet_wreckage_scene
ейдолонська лінза мадурая,eidolon_madurai_lens
ейдолонська лінза вазаріна,eidolon_vazarin_lens
ейдолонська лінза унайру,eidolon_unairu_lens
зефіра-прайм: каркас (кресленик),zephyr_prime_chassis_blueprint
панорама: колонія міконців,mycona_colony_scene
пакс «ширяння»,pax_soar
визволитель-прайм: клинок,redeemer_prime_blade
акджаґара-прайм: ствольна коробка,akjagara_prime_receiver
модифікатор розколу для складострілів (прихований),kitgun_riven_mod_(veiled)
спектросмок,spectrosiphon
вовча довбня: верхів’я,wolf_sledge_head
вовча довбня (комплект),wolf_sledge_set
панорама: долина куль,orb_vallis_scene
чжуґе-прайм: руків’я,zhuge_prime_grip
заморожувальна сила,freeze_force
вихровий тигр,swirling_tiger
швидке мислення,quick_thinking
змій-прайм (кресленик),wyrm_prime_blueprint
пружнє лезо,spring_loaded_blade
кінетичне перетворення,kinetic_diversion
потужний кидок,power_throw
рокова правда,fateful_truth
згубна сила,malignant_force
удосконалена оборона,superior_defenses
енергійне обернення,energy_inversion
нищівне правосуддя,shattering_justice
швидкі руки,fast_hands
полярний магазин,polar_magazine
підсилювач гвинтівки,rifle_amp
запасні частини,spare_parts
в один кінець,no_return
випарник,vaporize
лиховісний розкид,vicious_spread
чуття ворога,enemy_sense
сліпий гнів,blind_rage
мутація в набої для гвинтівки,rifle_ammo_mutation
імператор-вандал: ствол,imperator_vandal_barrel
ортос-прайм: клинок,orthos_prime_blade
локі-прайм: системи (кресленик),loki_prime_systems_blueprint
лінза нарамона,naramon_lens
припливна збіжність,coaction_drift
опанування рушницею,shotgun_savvy
вулканічне вістря,volcanic_edge
одоната-прайм: збруя (кресленик),odonata_prime_harness_blueprint
друге дихання,secondary_wind
одоната-прайм: системи (кресленик),odonata_prime_systems_blueprint
точковий удар,point_strike
швидкостріл,soaring_strike
гамселення,pummel
велоцит: ложе,velocitus_stock
ретбон: руків’я,rathbone_handle
ретбон: верхів’я,rathbone_head
пагуба-примара: ствол,latron_wraith_barrel
пекельний заряд,heated_charge
системні переспрямування,system_reroute
горгона-примара: ствольна коробка,gorgon_wraith_receiver
розрахований постріл,calculated_shot
міць,vigor
хіко-прайм: кисет,hikou_prime_pouch
жнець-прайм (кресленик),reaper_prime_blueprint
містичний шолом «як»,arcane_thrak_helmet
праймований упритул,primed_point_blank
сила трьох,power_of_three
райно-прайм: нейроптика (кресленик),rhino_prime_neuroptics_blueprint
знезброювальне очищення,disarming_purity
горгона-примара: ложе,gorgon_wraith_stock
балістика-прайм: тятива,ballistica_prime_string
схрещені змії,crossing_snakes
відживлення,rejuvenation
копирсання,dig
чикрижило,shredder
безупинна мука,continuous_misery
васто-прайм (комплект),vasto_prime_set
містичний шолом «авалон»,arcane_avalon_helmet
термітні кулі,thermite_rounds
містичний шолом «потік»,arcane_flux_helmet
акболто-телос,telos_akbolto
містичний шолом «ореол»,arcane_aura_helmet
кастаньяс-санкті,sancti_castanas
розкольний удар,rift_strike
вулканічне бомбардування,vulcan_blitz
містичний шолом «гамбіт»,arcane_gambit_helmet
містичний шолом «хлора»,arcane_chlora_helmet
містичний шолом «жвавість»,arcane_esprit_helmet
містичне ошуканство,arcane_trickery
оберон-прайм: нейроптика (кресленик),oberon_prime_neuroptics_blueprint
вольт-прайм: нейроптика (кресленик),volt_prime_neuroptics_blueprint
містичний шолом «фенікс»,arcane_phoenix_helmet
балістика-прайм: нижнє плече,ballistica_prime_lower_limb
вольт-прайм: каркас (кресленик),volt_prime_chassis_blueprint
маркізовий верид,marquise_veridos
містичний шолом «післязвуччя»,arcane_reverb_helmet
вибухове обдурювання,explosive_legerdemain
вирізання орокінів,smite_corrupted
містичний шолом «болиголов»,arcane_hemlock_helmet
вампірська п’явка,vampire_leech
чжуґе-прайм (кресленик),zhuge_prime_blueprint
нінконді-прайм: ланцюг,ninkondi_prime_chain
